time,tasmax,tasmax_c,normallized_TXX
1980,311.7257,38.575714,0.021239347
1981,312.17435,39.024353,0.098430621
1982,311.8379,38.687897,0.040541166
1983,311.60226,38.45227,0
1984,312.44373,39.29373,0.144778695
1985,312.23428,39.08429,0.108743173
1986,312.1158,38.96582,0.088359635
1987,312.02963,38.87964,0.073531803
1988,312.27002,39.120026,0.114891786
1989,312.5552,39.405212,0.163959902
1990,312.21854,39.068542,0.106033627
1991,312.29272,39.14273,0.118798158
1992,311.6376,38.48761,0.006080478
1993,311.89676,38.746765,0.05066979
1994,311.93533,38.78534,0.057306871
1995,312.84183,39.691833,0.213274919
1996,312.44485,39.29486,0.144973119
1997,312.09158,38.94159,0.084190705
1998,312.0294,38.879395,0.073489649
1999,312.6307,39.480713,0.176950343
2000,312.79904,39.649048,0.20591348
2001,312.8703,39.720306,0.218173885
2002,312.14984,38.999847,0.094214203
2003,313.21332,40.063324,0.277192375
2004,312.21448,39.064484,0.105335422
2005,312.67554,39.525543,0.184663637
2006,312.79495,39.64496,0.205210113
2007,312.577,39.427002,0.167709014
2008,312.33762,39.187622,0.12652212
2009,313.0177,39.867706,0.243535019
2010,313.13858,39.988586,0.264333213
2011,312.80197,39.651978,0.206417606
2012,312.1863,39.036316,0.100488933
2013,313.21158,40.061584,0.276892996
2014,313.38406,40.23407,0.30657034
2015,313.73712,40.587128,0.367316278
2016,312.9578,39.8078,0.2332278
2017,312.97202,39.82202,0.235674444
2018,313.52762,40.377625,0.331269917
2019,312.78372,39.633728,0.203277574
2020,313.0317,39.881714,0.245945187
2021,313.90756,40.75757,0.396641938
2022,313.74075,40.59076,0.367941187
2023,313.51825,40.368256,0.329657919
2024,313.9558,40.805817,0.40494315
2025,313.9636,40.8136,0.406282266
2026,313.82068,40.670685,0.381692806
2027,313.6733,40.523315,0.356336834
2028,314.1589,41.00891,0.439886629
2029,313.619,40.468994,0.34699055
2030,313.78867,40.63867,0.376184416
2031,313.228,40.078003,0.279717992
2032,313.7423,40.592316,0.368208907
2033,313.43167,40.281677,0.314761436
2034,314.23398,41.083984,0.452803601
2035,314.11588,40.96588,0.432483036
2036,313.6269,40.4769,0.348350829
2037,313.75867,40.608673,0.371023236
2038,313.96738,40.817383,0.406933156
2039,314.18,41.03,0.443515301
2040,314.17874,41.028748,0.443299886
2041,313.84576,40.69577,0.386008844
2042,314.34732,41.197327,0.472305005
2043,314.73572,41.585724,0.539131249
2044,314.30533,41.155334,0.465079835
2045,314.06595,40.915955,0.423893113
2046,314.3582,41.20819,0.474174055
2047,314.0886,40.9386,0.427789333
2048,314.63565,41.485657,0.521914067
2049,314.13058,40.98059,0.435013987
2050,314.5008,41.3508,0.498711038
2051,313.95715,40.80716,0.405174222
2052,314.37872,41.22873,0.477708097
2053,314.98187,41.83188,0.581483998
2054,314.6546,41.50461,0.525175055
2055,314.40622,41.256226,0.482438963
2056,315.12466,41.97467,0.606051951
2057,315.0148,41.864807,0.587149304
2058,314.5416,41.3916,0.505730945
2059,315.3769,42.2269,0.649449772
2060,314.96375,41.81375,0.578364613
2061,314.53247,41.382477,0.504161273
2062,315.21597,42.06598,0.621762434
2063,315.49753,42.347534,0.67020564
2064,314.47305,41.32306,0.49393819
2065,315.3997,42.249695,0.653371801
2066,314.879,41.729004,0.56378351
2067,315.25443,42.10443,0.628378008
2068,315.7247,42.574707,0.70929224
2069,315.49863,42.348633,0.67039473
2070,315.3348,42.184814,0.6422086
2071,315.5618,42.411804,0.681263714
2072,315.80942,42.659424,0.723868354
2073,315.97556,42.82556,0.752453139
2074,315.91367,42.76367,0.74180456
2075,315.28397,42.133972,0.633460902
2076,315.81088,42.66089,0.724120589
2077,315.9996,42.84961,0.756591099
2078,315.45908,42.309082,0.663589722
2079,315.74136,42.59137,0.712159218
2080,315.49686,42.346863,0.67009019
2081,316.25665,43.10666,0.800818232
2082,316.45926,43.309265,0.835677747
2083,316.39264,43.242645,0.82421534
2084,316.4758,43.325806,0.838523734
2085,316.3483,43.198303,0.816586009
2086,316.56186,43.411865,0.853330748
2087,316.773,43.623016,0.889660658
2088,317.16498,44.014984,0.957101315
2089,316.626,43.476013,0.864367831
2090,316.77664,43.626648,0.890285567
2091,316.82803,43.67804,0.899127897
2092,317.04745,43.89746,0.936880543
2093,317.04904,43.899048,0.937153768
2094,317.4143,44.264313,1
2095,316.76144,43.61145,0.887670652
2096,317.18286,44.032867,0.960178202
2097,317.09018,43.940186,0.94423183
2098,317.40463,44.25464,0.998335697
2099,317.0448,43.894806,0.936423905
